"","AGXT2L1.cn","ALPK1.cn","ALYREF.cn","ANK2.cn","ANO9.cn","AS3MT.cn","C14orf101.cn","C4orf32.cn","CALCA.cn","CCDC56.cn","CCDC57.cn","CDX2.cn","CENPM.cn","COL25A1.cn","DIDO1.cn","DSCR6.cn","DTNBP1.cn","ENGASE.cn","ENPEP.cn","FAM64A.cn","FGG.cn","H2AFZ.cn","HDAC10.cn","IKBKB.cn","KAT7.cn","KCNAB2.cn","LPIN3.cn","MFAP1.cn","MLLT6.cn","NBR2.cn","NCAPH2.cn","PABPC1L.cn","PGS1.cn","R3HCC1.cn","RHOH.cn","RTN4IP1.cn","SGMS2.cn","SLC25A27.cn","SPC24.cn","TK1.cn","UBL7.cn","WDR27.cn","ZBTB47.cn","ZFP3.cn","ZSWIM4.cn","ALPK1.rna","ALYREF.rna","ANK2.rna","ANO9.rna","AS3MT.rna","ATP5G1.rna","C14orf101.rna","C4orf32.rna","CALCA.rna","CCDC56.rna","CCDC57.rna","CDX2.rna","CENPM.rna","DIDO1.rna","DSCR6.rna","DTNBP1.rna","EHD3.rna","ENGASE.rna","FAM64A.rna","FGG.rna","GINS2.rna","H2AFZ.rna","HDAC10.rna","IKBKB.rna","KAT7.rna","KCNAB2.rna","LPIN3.rna","MFAP1.rna","MLLT6.rna","NBR2.rna","NCAPH2.rna","PABPC1L.rna","PGS1.rna","R3HCC1.rna","RAB38.rna","RHOH.rna","RTN4IP1.rna","SGMS2.rna","SLC25A27.rna","SPC24.rna","TK1.rna","UBL7.rna","WDR27.rna","ZBTB47.rna","ZC3H18.rna","ZFP3.rna","ZSWIM4.rna","DIDO1.mut"
"55",1.95,1.95,2.01,1.95,2.03,2.03,1.95,1.95,1.96,1.99,2.01,1.93,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,2.19,2.01,1.95,2.06,2,1.92,1.93,1.99,2.19,2,2.01,2.04,2.03,1.97,1.95,1.97,2.06,2.01,1.96,2.07,1.95,2.03,2.06,2.02,173.16,0.04,15.09,0,509.65,2.88,0.55,0,236.83,13.74,52.79,52.45,8.31,0.24,20.83,0.05,5.4,24.37,0.01,50.31,731.57,10.82,6.38,8.4,14.15,5.02,19.06,22.2,2.73,38.47,2.39,7.11,44.85,0.03,0.03,7.12,5.41,0.63,10.76,113.86,36.47,3.09,1.98,18.79,2.33,1.85,0
"56",1.95,1.95,2.01,1.95,2.03,2.03,1.95,1.95,1.96,1.99,2.01,1.93,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,2.19,2.01,1.95,2.06,2,1.92,1.93,1.99,2.19,2,2.01,2.04,2.03,1.97,1.95,1.97,2.06,2.01,1.96,2.07,1.95,2.03,2.06,2.02,173.16,0.04,15.09,0,509.65,2.88,0.55,0,236.83,13.74,52.79,52.45,8.31,0.24,20.83,0.05,5.4,24.37,0.01,50.31,731.57,10.82,6.38,8.4,14.15,5.02,19.06,22.2,2.73,38.47,2.39,7.11,44.85,0.03,0.03,7.12,5.41,0.63,10.76,113.86,36.47,3.09,1.98,18.79,2.33,1.85,0
"57",1.95,1.95,2.01,1.95,2.03,2.03,1.95,1.95,1.96,1.99,2.01,1.93,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,2.19,2.01,1.95,2.06,2,1.92,1.93,1.99,2.19,2,2.01,2.04,2.03,1.97,1.95,1.97,2.06,2.01,1.96,2.07,1.95,2.03,2.06,2.02,173.16,0.04,15.09,0,509.65,2.88,0.55,0,236.83,13.74,52.79,52.45,8.31,0.24,20.83,0.05,5.4,24.37,0.01,50.31,731.57,10.82,6.38,8.4,14.15,5.02,19.06,22.2,2.73,38.47,2.39,7.11,44.85,0.03,0.03,7.12,5.41,0.63,10.76,113.86,36.47,3.09,1.98,18.79,2.33,1.85,0
"58",1.95,1.95,2.01,1.95,2.03,2.03,1.95,1.95,1.96,1.99,2.01,1.93,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,2.19,2.01,1.95,2.06,2,1.92,1.93,1.99,2.19,2,2.01,2.04,2.03,1.97,1.95,1.97,2.06,2.01,1.96,2.07,1.95,2.03,2.06,2.02,173.16,0.04,15.09,0,509.65,2.88,0.55,0,236.83,13.74,52.79,52.45,8.31,0.24,20.83,0.05,5.4,24.37,0.01,50.31,731.57,10.82,6.38,8.4,14.15,5.02,19.06,22.2,2.73,38.47,2.39,7.11,44.85,0.03,0.03,7.12,5.41,0.63,10.76,113.86,36.47,3.09,1.98,18.79,2.33,1.85,0
"59",1.95,1.95,2.01,1.95,2.03,2.03,1.95,1.95,1.96,1.99,2.01,1.93,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,2.19,2.01,1.95,2.06,2,1.92,1.93,1.99,2.19,2,2.01,2.04,2.03,1.97,1.95,1.97,2.06,2.01,1.96,2.07,1.95,2.03,2.06,2.02,173.16,0.04,15.09,0,509.65,2.88,0.55,0,236.83,13.74,52.79,52.45,8.31,0.24,20.83,0.05,5.4,24.37,0.01,50.31,731.57,10.82,6.38,8.4,14.15,5.02,19.06,22.2,2.73,38.47,2.39,7.11,44.85,0.03,0.03,7.12,5.41,0.63,10.76,113.86,36.47,3.09,1.98,18.79,2.33,1.85,0
"60",1.95,1.95,2.01,1.95,2.03,2.03,1.95,1.95,1.96,1.99,2.01,1.93,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,2.19,2.01,1.95,2.06,2,1.92,1.93,1.99,2.19,2,2.01,2.04,2.03,1.97,1.95,1.97,2.06,2.01,1.96,2.07,1.95,2.03,2.06,2.02,173.16,0.04,15.09,0,509.65,2.88,0.55,0,236.83,13.74,52.79,52.45,8.31,0.24,20.83,0.05,5.4,24.37,0.01,50.31,731.57,10.82,6.38,8.4,14.15,5.02,19.06,22.2,2.73,38.47,2.39,7.11,44.85,0.03,0.03,7.12,5.41,0.63,10.76,113.86,36.47,3.09,1.98,18.79,2.33,1.85,0
"61",1.95,1.95,2.01,1.95,2.03,2.03,1.95,1.95,1.96,1.99,2.01,1.93,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,2.19,2.01,1.95,2.06,2,1.92,1.93,1.99,2.19,2,2.01,2.04,2.03,1.97,1.95,1.97,2.06,2.01,1.96,2.07,1.95,2.03,2.06,2.02,173.16,0.04,15.09,0,509.65,2.88,0.55,0,236.83,13.74,52.79,52.45,8.31,0.24,20.83,0.05,5.4,24.37,0.01,50.31,731.57,10.82,6.38,8.4,14.15,5.02,19.06,22.2,2.73,38.47,2.39,7.11,44.85,0.03,0.03,7.12,5.41,0.63,10.76,113.86,36.47,3.09,1.98,18.79,2.33,1.85,0
"62",1.95,1.95,2.01,1.95,2.03,2.03,1.95,1.95,1.96,1.99,2.01,1.93,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,2.19,2.01,1.95,2.06,2,1.92,1.93,1.99,2.19,2,2.01,2.04,2.03,1.97,1.95,1.97,2.06,2.01,1.96,2.07,1.95,2.03,2.06,2.02,173.16,0.04,15.09,0,509.65,2.88,0.55,0,236.83,13.74,52.79,52.45,8.31,0.24,20.83,0.05,5.4,24.37,0.01,50.31,731.57,10.82,6.38,8.4,14.15,5.02,19.06,22.2,2.73,38.47,2.39,7.11,44.85,0.03,0.03,7.12,5.41,0.63,10.76,113.86,36.47,3.09,1.98,18.79,2.33,1.85,0
"63",1.95,1.95,2.01,1.95,2.03,2.03,1.95,1.95,1.96,1.99,2.01,1.93,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,2.19,2.01,1.95,2.06,2,1.92,1.93,1.99,2.19,2,2.01,2.04,2.03,1.97,1.95,1.97,2.06,2.01,1.96,2.07,1.95,2.03,2.06,2.02,173.16,0.04,15.09,0,509.65,2.88,0.55,0,236.83,13.74,52.79,52.45,8.31,0.24,20.83,0.05,5.4,24.37,0.01,50.31,731.57,10.82,6.38,8.4,14.15,5.02,19.06,22.2,2.73,38.47,2.39,7.11,44.85,0.03,0.03,7.12,5.41,0.63,10.76,113.86,36.47,3.09,1.98,18.79,2.33,1.85,0
"64",1.95,1.95,2.01,1.95,2.03,2.03,1.95,1.95,1.96,1.99,2.01,1.93,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,2.19,2.01,1.95,2.06,2,1.92,1.93,1.99,2.19,2,2.01,2.04,2.03,1.97,1.95,1.97,2.06,2.01,1.96,2.07,1.95,2.03,2.06,2.02,173.16,0.04,15.09,0,509.65,2.88,0.55,0,236.83,13.74,52.79,52.45,8.31,0.24,20.83,0.05,5.4,24.37,0.01,50.31,731.57,10.82,6.38,8.4,14.15,5.02,19.06,22.2,2.73,38.47,2.39,7.11,44.85,0.03,0.03,7.12,5.41,0.63,10.76,113.86,36.47,3.09,1.98,18.79,2.33,1.85,0
"65",1.95,1.95,2.01,1.95,2.03,2.03,1.95,1.95,1.96,1.99,2.01,1.93,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,2.19,2.01,1.95,2.06,2,1.92,1.93,1.99,2.19,2,2.01,2.04,2.03,1.97,1.95,1.97,2.06,2.01,1.96,2.07,1.95,2.03,2.06,2.02,173.16,0.04,15.09,0,509.65,2.88,0.55,0,236.83,13.74,52.79,52.45,8.31,0.24,20.83,0.05,5.4,24.37,0.01,50.31,731.57,10.82,6.38,8.4,14.15,5.02,19.06,22.2,2.73,38.47,2.39,7.11,44.85,0.03,0.03,7.12,5.41,0.63,10.76,113.86,36.47,3.09,1.98,18.79,2.33,1.85,0
"66",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
"67",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
"68",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
"69",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
"70",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
"71",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
"72",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
"73",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
"74",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
"75",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
"76",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
"77",1.99,1.99,2.16,1.99,2.08,2.06,2.01,1.99,2.01,2.01,2.16,2.03,2.06,1.99,2.06,2.07,1.97,2.01,1.99,2.01,2.03,2.03,2.06,2.01,2.01,2.16,2.04,1.99,2.01,2.01,2.06,1.96,2.01,2.08,1.97,2.03,1.99,2.03,2.07,2.01,2.01,2.01,2.01,2.01,2.07,2.89,118.34,0.06,41.91,0,212.27,5.32,8.66,0,92.23,7.29,23.28,24.31,11.95,0.02,12.24,0.04,11.42,6.64,0,16.28,323.43,21.83,12.25,6.63,0,15.41,20.86,18.31,3.22,21.52,4.13,7.75,17.31,0.27,0,4.76,13.92,0.72,5.06,57.93,25.31,3.41,2.71,16.42,0.07,1.67,0
